Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	38	69	0.0	1.0	0.05660377358490566	1.0	0.9433962264150944	
1	0	134	0.037037037037037035	1.0	0.16652994257588188	0.962962962962963	0.8334700574241181	
2	0	109	0.07407407407407407	1.0	0.2559474979491386	0.9259259259259259	0.7440525020508614	
3	0	409	0.1111111111111111	1.0	0.5914684167350287	0.8888888888888888	0.4085315832649713	
4	0	20	0.14814814814814814	1.0	0.6078753076292043	0.8518518518518519	0.3921246923707957	
5	0	3	0.18518518518518517	1.0	0.6103363412633306	0.8148148148148149	0.3896636587366694	
6	0	16	0.2222222222222222	1.0	0.623461853978671	0.7777777777777778	0.37653814602132896	
7	0	67	0.25925925925925924	1.0	0.6784249384741592	0.7407407407407407	0.3215750615258408	
8	0	17	0.2962962962962963	1.0	0.6923707957342085	0.7037037037037037	0.30762920426579154	
9	0	101	0.3333333333333333	1.0	0.775225594749795	0.6666666666666667	0.22477440525020498	
10	0	0	0.37037037037037035	1.0	0.775225594749795	0.6296296296296297	0.22477440525020498	
11	0	4	0.4074074074074074	1.0	0.7785069729286301	0.5925925925925926	0.22149302707136986	
12	0	0	0.4444444444444444	1.0	0.7785069729286301	0.5555555555555556	0.22149302707136986	
13	0	16	0.48148148148148145	1.0	0.7916324856439706	0.5185185185185186	0.2083675143560294	
14	0	0	0.5185185185185185	1.0	0.7916324856439706	0.4814814814814815	0.2083675143560294	
15	0	0	0.5555555555555556	1.0	0.7916324856439706	0.4444444444444444	0.2083675143560294	
16	0	0	0.5925925925925926	1.0	0.7916324856439706	0.40740740740740744	0.2083675143560294	
17	0	0	0.6296296296296297	1.0	0.7916324856439706	0.37037037037037035	0.2083675143560294	
18	0	0	0.6666666666666666	1.0	0.7916324856439706	0.33333333333333337	0.2083675143560294	
19	0	0	0.7037037037037037	1.0	0.7916324856439706	0.2962962962962963	0.2083675143560294	
20	0	53	0.7407407407407407	1.0	0.8351107465135358	0.2592592592592593	0.16488925348646422	
21	0	89	0.7777777777777778	1.0	0.908121410992617	0.2222222222222222	0.091878589007383	
22	0	0	0.8148148148148148	1.0	0.908121410992617	0.18518518518518523	0.091878589007383	
23	0	0	0.8518518518518519	1.0	0.908121410992617	0.14814814814814814	0.091878589007383	
24	0	9	0.8888888888888888	1.0	0.915504511894996	0.11111111111111116	0.08449548810500396	
25	0	0	0.9259259259259259	1.0	0.915504511894996	0.07407407407407407	0.08449548810500396	
26	0	33	0.9629629629629629	1.0	0.9425758818703857	0.03703703703703709	0.05742411812961434	
27	0	70	1.0	1.0	1.0	0.0	0.0	
