Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	0	1012	0.0	0.0	0.35459004905395936	0.0	-0.35459004905395936	
1	0	0	0.018867924528301886	0.0	0.35459004905395936	-0.018867924528301886	-0.35459004905395936	
2	0	0	0.03773584905660377	0.0	0.35459004905395936	-0.03773584905660377	-0.35459004905395936	
3	0	0	0.05660377358490566	0.0	0.35459004905395936	-0.05660377358490566	-0.35459004905395936	
4	0	0	0.07547169811320754	0.0	0.35459004905395936	-0.07547169811320754	-0.35459004905395936	
5	0	0	0.09433962264150944	0.0	0.35459004905395936	-0.09433962264150944	-0.35459004905395936	
6	0	0	0.11320754716981132	0.0	0.35459004905395936	-0.11320754716981132	-0.35459004905395936	
7	0	803	0.1320754716981132	0.0	0.6359495444989489	-0.1320754716981132	-0.6359495444989489	
8	80	195	0.1509433962264151	0.7843137254901961	0.7042747021723897	0.633370329263781	0.08003902331780632	
9	22	549	0.16981132075471697	1.0	0.896636299929923	0.8301886792452831	0.103363700070077	
10	0	71	0.18867924528301888	1.0	0.9215136650315348	0.8113207547169812	0.07848633496846524	
11	0	0	0.20754716981132076	1.0	0.9215136650315348	0.7924528301886793	0.07848633496846524	
12	0	40	0.22641509433962265	1.0	0.9355290819901892	0.7735849056603774	0.06447091800981075	
13	0	0	0.24528301886792453	1.0	0.9355290819901892	0.7547169811320755	0.06447091800981075	
14	0	6	0.2641509433962264	1.0	0.9376313945339875	0.7358490566037736	0.06236860546601253	
15	0	9	0.2830188679245283	1.0	0.9407848633496847	0.7169811320754718	0.0592151366503153	
16	0	0	0.3018867924528302	1.0	0.9407848633496847	0.6981132075471699	0.0592151366503153	
17	0	1	0.32075471698113206	1.0	0.9411352487736511	0.679245283018868	0.05886475122634893	
18	0	161	0.33962264150943394	1.0	0.9975473020322355	0.6603773584905661	0.0024526979677644833	
19	0	0	0.3584905660377358	1.0	0.9975473020322355	0.6415094339622642	0.0024526979677644833	
20	0	2	0.37735849056603776	1.0	0.9982480728801683	0.6226415094339622	0.001751927119831742	
21	0	0	0.39622641509433965	1.0	0.9982480728801683	0.6037735849056604	0.001751927119831742	
22	0	0	0.41509433962264153	1.0	0.9982480728801683	0.5849056603773585	0.001751927119831742	
23	0	0	0.4339622641509434	1.0	0.9982480728801683	0.5660377358490566	0.001751927119831742	
24	0	1	0.4528301886792453	1.0	0.9985984583041346	0.5471698113207547	0.0014015416958653715	
25	0	3	0.4716981132075472	1.0	0.9996496145760337	0.5283018867924528	3.503854239662596E-4	
26	0	0	0.49056603773584906	1.0	0.9996496145760337	0.5094339622641509	3.503854239662596E-4	
27	0	0	0.5094339622641509	1.0	0.9996496145760337	0.49056603773584906	3.503854239662596E-4	
28	0	0	0.5283018867924528	1.0	0.9996496145760337	0.4716981132075472	3.503854239662596E-4	
29	0	0	0.5471698113207547	1.0	0.9996496145760337	0.4528301886792453	3.503854239662596E-4	
30	0	0	0.5660377358490566	1.0	0.9996496145760337	0.4339622641509434	3.503854239662596E-4	
31	0	0	0.5849056603773585	1.0	0.9996496145760337	0.41509433962264153	3.503854239662596E-4	
32	0	0	0.6037735849056604	1.0	0.9996496145760337	0.39622641509433965	3.503854239662596E-4	
33	0	0	0.6226415094339622	1.0	0.9996496145760337	0.37735849056603776	3.503854239662596E-4	
34	0	0	0.6415094339622641	1.0	0.9996496145760337	0.3584905660377359	3.503854239662596E-4	
35	0	0	0.660377358490566	1.0	0.9996496145760337	0.339622641509434	3.503854239662596E-4	
36	0	0	0.6792452830188679	1.0	0.9996496145760337	0.3207547169811321	3.503854239662596E-4	
37	0	0	0.6981132075471698	1.0	0.9996496145760337	0.30188679245283023	3.503854239662596E-4	
38	0	0	0.7169811320754716	1.0	0.9996496145760337	0.28301886792452835	3.503854239662596E-4	
39	0	0	0.7358490566037735	1.0	0.9996496145760337	0.26415094339622647	3.503854239662596E-4	
40	0	0	0.7547169811320755	1.0	0.9996496145760337	0.24528301886792447	3.503854239662596E-4	
41	0	0	0.7735849056603774	1.0	0.9996496145760337	0.2264150943396226	3.503854239662596E-4	
42	0	0	0.7924528301886793	1.0	0.9996496145760337	0.2075471698113207	3.503854239662596E-4	
43	0	0	0.8113207547169812	1.0	0.9996496145760337	0.18867924528301883	3.503854239662596E-4	
44	0	0	0.8301886792452831	1.0	0.9996496145760337	0.16981132075471694	3.503854239662596E-4	
45	0	0	0.8490566037735849	1.0	0.9996496145760337	0.15094339622641506	3.503854239662596E-4	
46	0	0	0.8679245283018868	1.0	0.9996496145760337	0.13207547169811318	3.503854239662596E-4	
47	0	0	0.8867924528301887	1.0	0.9996496145760337	0.1132075471698113	3.503854239662596E-4	
48	0	0	0.9056603773584906	1.0	0.9996496145760337	0.09433962264150941	3.503854239662596E-4	
49	0	0	0.9245283018867925	1.0	0.9996496145760337	0.07547169811320753	3.503854239662596E-4	
50	0	0	0.9433962264150944	1.0	0.9996496145760337	0.05660377358490565	3.503854239662596E-4	
51	0	0	0.9622641509433962	1.0	0.9996496145760337	0.037735849056603765	3.503854239662596E-4	
52	0	0	0.9811320754716981	1.0	0.9996496145760337	0.018867924528301883	3.503854239662596E-4	
53	0	1	1.0	1.0	1.0	0.0	0.0	
